conteudo,sentimento,tema,universidade,perfil
"tá na moral, muito formando que não consegue emprego na área e fica com dívida impagável. O modelo está errado.",negativo,Expansão ou Corte do FIES e ProUni,UFRJ,progressista-carioca
"Apoio descriminalização em casos extremos, mas legalização ampla ainda gera dúvidas pra mim.",neutro,Descriminalização vs. Legalização do Aborto,FGV,liberal-econômico
"Uso como ferramenta auxiliar tudo bem, mas precisamos definir o que é plágio nesse novo contexto.",neutro,Regulamentação do Uso de IA em Provas e TCCs,INSPER,liberal-meritocrático
"Transição sim, mas com plano de proteção pra quem vai perder emprego nas indústrias tradicionais.",neutro,Transição Energética e Custo para a População,UFMG,progressista-regional
"Expansão sim, mas com critério de qualidade das instituições conveniadas. Nem toda privada serve.",neutro,Expansão ou Corte do FIES e ProUni,UFMG,progressista-regional
"Suporte psicológico é necessário, mas não suficiente. O debate precisa ir além do atendimento individual.",neutro,Saúde Mental no Ambiente Universitário,UFRJ,progressista-carioca
"que negócio é esse, aborto ilegal não evita aborto — mata mulher pobre. Descriminalização é pauta de saúde pública.",positivo,Descriminalização vs. Legalização do Aborto,UNB,político-crítico
"Apoio o acesso, mas o modelo precisa garantir que o diploma tenha valor no mercado depois.",neutro,Expansão ou Corte do FIES e ProUni,UFBA,progressista-nordestino
"Apoio regulamentação, mas com revisão independente e sem controle governamental direto.",neutro,Regulamentação das Redes Sociais e Discurso de Ódio,MACKENZIE,conservador-técnico
"Não é pauta de saúde pública, é pauta ideológica. Existem alternativas que precisam ser debatidas antes.",negativo,Descriminalização vs. Legalização do Aborto,UFRJ,progressista-carioca
"nossa, universidade federal não pode depender de repasse que muda a cada governo. Precisamos de autonomia orçamentária garantida em lei.",positivo,Cortes no Orçamento das Universidades Federais,PUC_SP,progressista-católico
Já vi TCC gerado por IA aprovado com distinção. O sistema não tá conseguindo avaliar mais nada.,negativo,Regulamentação do Uso de IA em Provas e TCCs,UFMG,progressista-regional
É uma pauta que divide genuinamente por valores. Não consigo reduzir a certo ou errado.,neutro,Descriminalização vs. Legalização do Aborto,UFBA,progressista-nordestino
"O debate precisa separar posse em casa, porte em via pública e uso por CAC. São coisas diferentes.",neutro,Desarmamento vs. Flexibilização do Porte de Armas,UFMG,progressista-regional
"A reforma simplificou o consumo, mas deixou a renda intocada. Avanço parcial.",neutro,Reforma Tributária e Imposto sobre Grandes Fortunas,FGV,liberal-econômico
"ProUni funciona melhor que FIES, mas ambos precisam de avaliação séria de impacto antes de ampliar.",negativo,Expansão ou Corte do FIES e ProUni,UFMG,progressista-regional
Apoio total à criação de serviços de apoio psicológico gratuito no campus. Era o mínimo.,positivo,Saúde Mental no Ambiente Universitário,UFRJ,progressista-carioca
Financiar faculdade privada de baixa qualidade com dinheiro público não é inclusão — é desperdício.,negativo,Expansão ou Corte do FIES e ProUni,UFRJ,progressista-carioca
Usar IA no TCC com citação e reflexão crítica é diferente de copiar. Precisamos distinguir.,positivo,Regulamentação do Uso de IA em Provas e TCCs,UFRJ,progressista-carioca
Tornar facultativo é enfraquecer a democracia. Jovem sem voto é jovem sem representação.,negativo,Voto Obrigatório vs. Facultativo aos 16 Anos,PUC_SP,progressista-católico
"Antes de reclamar de corte, as universidades deveriam apresentar prestação de contas séria.",negativo,Cortes no Orçamento das Universidades Federais,USP,progressista-técnico
Regulamentação de conteúdo é censura com outro nome. Sou contra.,negativo,Regulamentação das Redes Sociais e Discurso de Ódio,UFMG,progressista-regional
"FIES virou rombo fiscal sem retorno claro. Precisamos de critério mais rigoroso, não de expansão.",negativo,Expansão ou Corte do FIES e ProUni,PUC_SP,progressista-católico
"oxe, voto facultativo aos 16 respeita a autonomia de quem ainda não se sente pronto pra decidir.",positivo,Voto Obrigatório vs. Facultativo aos 16 Anos,UNB,político-crítico
"visse, quem define o que é discurso de ódio? O governo? Isso é perigoso demais.",negativo,Regulamentação das Redes Sociais e Discurso de Ódio,UFBA,progressista-nordestino
"Proibir é impossível, mas liberar sem critério é colapsar a avaliação acadêmica.",negativo,Regulamentação do Uso de IA em Provas e TCCs,INSPER,liberal-meritocrático
"Apoio regulamentação, mas com revisão independente e sem controle governamental direto.",neutro,Regulamentação das Redes Sociais e Discurso de Ódio,PUC_SP,progressista-católico
"Regulamentação sim, mas o modelo importa. PL atual tem problemas sérios que precisam ser corrigidos.",neutro,Regulamentação das Redes Sociais e Discurso de Ódio,MACKENZIE,conservador-técnico
Sou contra. Vida começa na concepção e o Estado não pode legitimar seu fim.,negativo,Descriminalização vs. Legalização do Aborto,UFRJ,progressista-carioca
"Transição sim, mas com plano de proteção pra quem vai perder emprego nas indústrias tradicionais.",neutro,Transição Energética e Custo para a População,UFMG,progressista-regional
"IGF faz sentido em tese, mas a implementação no Brasil seria complexa demais sem reforma do judiciário junto.",neutro,Reforma Tributária e Imposto sobre Grandes Fortunas,UNB,político-crítico
"FIES virou rombo fiscal sem retorno claro. Precisamos de critério mais rigoroso, não de expansão.",negativo,Expansão ou Corte do FIES e ProUni,MACKENZIE,conservador-técnico
Países que legalizaram viram queda no número de abortos e zero aumento. Os dados estão aí.,positivo,Descriminalização vs. Legalização do Aborto,USP,progressista-técnico
Apoio total à criação de serviços de apoio psicológico gratuito no campus. Era o mínimo.,positivo,Saúde Mental no Ambiente Universitário,MACKENZIE,conservador-técnico
"ProUni funciona melhor que FIES, mas ambos precisam de avaliação séria de impacto antes de ampliar.",negativo,Expansão ou Corte do FIES e ProUni,INSPER,liberal-meritocrático
"IGF não é radicalismo, é prática comum em países desenvolvidos. Apoio.",positivo,Reforma Tributária e Imposto sobre Grandes Fortunas,UNICAMP,técnico-crítico
"O debate precisa separar posse em casa, porte em via pública e uso por CAC. São coisas diferentes.",neutro,Desarmamento vs. Flexibilização do Porte de Armas,PUC_SP,progressista-católico
"véi, finalmente a universidade tratando saúde mental como pauta institucional séria.",positivo,Saúde Mental no Ambiente Universitário,UFRJ,progressista-carioca
Nem proibir nem liberar sem critério. Precisamos de política clara e consistente entre os departamentos.,neutro,Regulamentação do Uso de IA em Provas e TCCs,UFBA,progressista-nordestino
Restrição ao porte é paternalismo. Cada um deveria ter direito de se defender.,negativo,Desarmamento vs. Flexibilização do Porte de Armas,UNICAMP,técnico-crítico
"Sou a favor da transição, mas o ritmo proposto é irreal e vai comprometer abastecimento.",negativo,Transição Energética e Custo para a População,UFMG,progressista-regional
Regulamentação de conteúdo é censura com outro nome. Sou contra.,negativo,Regulamentação das Redes Sociais e Discurso de Ódio,UNB,político-crítico
"bão demais, facultativo favorece quem já tem voz. Obrigatório democratiza de verdade.",negativo,Voto Obrigatório vs. Facultativo aos 16 Anos,UFMG,progressista-regional
"Uso como ferramenta auxiliar tudo bem, mas precisamos definir o que é plágio nesse novo contexto.",neutro,Regulamentação do Uso de IA em Provas e TCCs,UFRJ,progressista-carioca
"basicamente, FIES e ProUni são as únicas portas de entrada no ensino superior pra quem não passou em federal.",positivo,Expansão ou Corte do FIES e ProUni,MACKENZIE,conservador-técnico
Apoio o desarmamento. Revogação dos decretos de Bolsonaro foi acerto.,positivo,Desarmamento vs. Flexibilização do Porte de Armas,UNICAMP,técnico-crítico
Difícil tomar partido sem ver o orçamento detalhado. Onde exatamente está sendo cortado?,neutro,Cortes no Orçamento das Universidades Federais,UFRJ,progressista-carioca
"Oxe, cortaram bolsa de IC, verba de laboratório e agora querem cortar manutenção de campus. Até quando?",positivo,Cortes no Orçamento das Universidades Federais,UFRJ,progressista-carioca
"O custo da transição precisa ser distribuído de forma progressiva. Não é simples, mas é necessário.",neutro,Transição Energética e Custo para a População,UNB,político-crítico
"O custo da transição precisa ser distribuído de forma progressiva. Não é simples, mas é necessário.",neutro,Transição Energética e Custo para a População,UFMG,progressista-regional
Restrição ao porte é paternalismo. Cada um deveria ter direito de se defender.,negativo,Desarmamento vs. Flexibilização do Porte de Armas,MACKENZIE,conservador-técnico
STF tem que garantir o direito. O Estado não pode obrigar ninguém a gestar contra a vontade.,positivo,Descriminalização vs. Legalização do Aborto,MACKENZIE,conservador-técnico
Cada campus tem realidade diferente. Uma política nacional de saúde mental universitária precisa de flexibilidade.,neutro,Saúde Mental no Ambiente Universitário,PUC_SP,progressista-católico
"Autonomia sobre o próprio corpo não é pauta política, é direito humano fundamental.",positivo,Descriminalização vs. Legalização do Aborto,UFMG,progressista-regional
"O debate precisa separar posse em casa, porte em via pública e uso por CAC. São coisas diferentes.",neutro,Desarmamento vs. Flexibilização do Porte de Armas,MACKENZIE,conservador-técnico
"Sou a favor da transição, mas o ritmo proposto é irreal e vai comprometer abastecimento.",negativo,Transição Energética e Custo para a População,UFRJ,progressista-carioca
IA gera texto plausível mas vazio. Deixar usar em TCC é institucionalizar a superficialidade.,negativo,Regulamentação do Uso de IA em Provas e TCCs,UFBA,progressista-nordestino
"nossa, há exceções que já são legais. Legalização ampla é diferente e eu discordo.",negativo,Descriminalização vs. Legalização do Aborto,PUC_SP,progressista-católico
Países que legalizaram viram queda no número de abortos e zero aumento. Os dados estão aí.,positivo,Descriminalização vs. Legalização do Aborto,UFMG,progressista-regional
Apoio total à criação de serviços de apoio psicológico gratuito no campus. Era o mínimo.,positivo,Saúde Mental no Ambiente Universitário,USP,progressista-técnico
Cada campus tem realidade diferente. Uma política nacional de saúde mental universitária precisa de flexibilidade.,neutro,Saúde Mental no Ambiente Universitário,USP,progressista-técnico
É uma pauta que divide genuinamente por valores. Não consigo reduzir a certo ou errado.,neutro,Descriminalização vs. Legalização do Aborto,INSPER,liberal-meritocrático
"Antes de reclamar de corte, as universidades deveriam apresentar prestação de contas séria.",negativo,Cortes no Orçamento das Universidades Federais,UFRJ,progressista-carioca
"cara, bandido não obedece lei de desarmamento. Só o cidadão honesto fica indefeso.",negativo,Desarmamento vs. Flexibilização do Porte de Armas,UNB,político-crítico
"faz sentido, muito formando que não consegue emprego na área e fica com dívida impagável. O modelo está errado.",negativo,Expansão ou Corte do FIES e ProUni,INSPER,liberal-meritocrático
"Suporte psicológico é necessário, mas não suficiente. O debate precisa ir além do atendimento individual.",neutro,Saúde Mental no Ambiente Universitário,UFRJ,progressista-carioca
Apoio a expansão. Cortar é fechar a universidade pra quem mais precisa dela.,positivo,Expansão ou Corte do FIES e ProUni,FGV,liberal-econômico
Depende muito de como a educação cívica for implementada junto. Não dá pra separar.,neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,MACKENZIE,conservador-técnico
Financiar faculdade privada de baixa qualidade com dinheiro público não é inclusão — é desperdício.,negativo,Expansão ou Corte do FIES e ProUni,FGV,liberal-econômico
Brasil tem potencial solar e eólico imenso. Não aproveitar é desperdiçar vantagem competitiva.,positivo,Transição Energética e Custo para a População,USP,progressista-técnico
"IGF afasta investimento e capital. Na prática gera menos arrecadação, não mais.",negativo,Reforma Tributária e Imposto sobre Grandes Fortunas,INSPER,liberal-meritocrático
Países que legalizaram viram queda no número de abortos e zero aumento. Os dados estão aí.,positivo,Descriminalização vs. Legalização do Aborto,MACKENZIE,conservador-técnico
"ai meu deus, transição energética é inevitável. Quanto mais tarde, mais caro pra todo mundo.",positivo,Transição Energética e Custo para a População,PUC_SP,progressista-católico
"IGF faz sentido em tese, mas a implementação no Brasil seria complexa demais sem reforma do judiciário junto.",neutro,Reforma Tributária e Imposto sobre Grandes Fortunas,UNICAMP,técnico-crítico
"Respeito quem defende, mas minha posição é contrária. Adoção precisa ser facilitada primeiro.",negativo,Descriminalização vs. Legalização do Aborto,UNICAMP,técnico-crítico
"cara, quem define o que é discurso de ódio? O governo? Isso é perigoso demais.",negativo,Regulamentação das Redes Sociais e Discurso de Ódio,UNB,político-crítico
O problema do Brasil não é pouca tributação de rico — é gasto público ineficiente. Começar por aí.,negativo,Reforma Tributária e Imposto sobre Grandes Fortunas,UNB,político-crítico
Sou contra. Vida começa na concepção e o Estado não pode legitimar seu fim.,negativo,Descriminalização vs. Legalização do Aborto,UNICAMP,técnico-crítico
IA gera texto plausível mas vazio. Deixar usar em TCC é institucionalizar a superficialidade.,negativo,Regulamentação do Uso de IA em Provas e TCCs,FGV,liberal-econômico
Reforma que não toca na concentração de riqueza não é reforma — é maquiagem fiscal.,positivo,Reforma Tributária e Imposto sobre Grandes Fortunas,FGV,liberal-econômico
"no final do dia, criar um 'setor de bem-estar' sem mudar a cultura de pressão é enganação.",negativo,Saúde Mental no Ambiente Universitário,FGV,liberal-econômico
"Regulamentação sim, mas o modelo importa. PL atual tem problemas sérios que precisam ser corrigidos.",neutro,Regulamentação das Redes Sociais e Discurso de Ódio,USP,progressista-técnico
Prefiro plataforma com excesso de liberdade a Estado decidindo o que posso falar.,negativo,Regulamentação das Redes Sociais e Discurso de Ódio,USP,progressista-técnico
Já vi TCC gerado por IA aprovado com distinção. O sistema não tá conseguindo avaliar mais nada.,negativo,Regulamentação do Uso de IA em Provas e TCCs,UFMG,progressista-regional
"que brisa, criar um 'setor de bem-estar' sem mudar a cultura de pressão é enganação.",negativo,Saúde Mental no Ambiente Universitário,UFRJ,progressista-carioca
"massa, facultativo favorece quem já tem voz. Obrigatório democratiza de verdade.",negativo,Voto Obrigatório vs. Facultativo aos 16 Anos,UFBA,progressista-nordestino
"Antes de reclamar de corte, as universidades deveriam apresentar prestação de contas séria.",negativo,Cortes no Orçamento das Universidades Federais,UFRJ,progressista-carioca
Já vi TCC gerado por IA aprovado com distinção. O sistema não tá conseguindo avaliar mais nada.,negativo,Regulamentação do Uso de IA em Provas e TCCs,PUC_SP,progressista-católico
"Sou a favor da transição, mas o ritmo proposto é irreal e vai comprometer abastecimento.",negativo,Transição Energética e Custo para a População,USP,progressista-técnico
"tá ligado, transição energética é inevitável. Quanto mais tarde, mais caro pra todo mundo.",positivo,Transição Energética e Custo para a População,USP,progressista-técnico
"Os dados internacionais apontam pra restrição, mas o contexto brasileiro tem especificidades.",neutro,Desarmamento vs. Flexibilização do Porte de Armas,UFRJ,progressista-carioca
"O debate precisa separar posse em casa, porte em via pública e uso por CAC. São coisas diferentes.",neutro,Desarmamento vs. Flexibilização do Porte de Armas,UFMG,progressista-regional
"Apoio a meta, mas o prazo e o modelo de financiamento precisam de debate técnico sério.",neutro,Transição Energética e Custo para a População,UFMG,progressista-regional
"Sou a favor do suporte, mas sem enfrentar a raiz — competição, precariedade, futuro incerto — não muda nada.",negativo,Saúde Mental no Ambiente Universitário,UNICAMP,técnico-crítico
Apoio políticas de energia limpa mesmo com custo de curto prazo. O custo do inação é maior.,positivo,Transição Energética e Custo para a População,PUC_SP,progressista-católico
"bão, transição energética é inevitável. Quanto mais tarde, mais caro pra todo mundo.",positivo,Transição Energética e Custo para a População,UNICAMP,técnico-crítico
Sou contra. Vida começa na concepção e o Estado não pode legitimar seu fim.,negativo,Descriminalização vs. Legalização do Aborto,MACKENZIE,conservador-técnico
Cidadão de bem desarmado é vítima fácil. Sou a favor do porte responsável.,negativo,Desarmamento vs. Flexibilização do Porte de Armas,UNICAMP,técnico-crítico
"Regulamentar sim, proibir não. A IA veio pra ficar e a universidade precisa se adaptar.",positivo,Regulamentação do Uso de IA em Provas e TCCs,UFBA,progressista-nordestino
"Olha os dados do interior: onde o cidadão é armado, criminalidade específica cai.",negativo,Desarmamento vs. Flexibilização do Porte de Armas,FGV,liberal-econômico
Difícil tomar partido sem ver o orçamento detalhado. Onde exatamente está sendo cortado?,neutro,Cortes no Orçamento das Universidades Federais,PUC_SP,progressista-católico
Cada disciplina tem uma relação diferente com IA. Não dá pra ter uma regra única pra tudo.,neutro,Regulamentação do Uso de IA em Provas e TCCs,UFBA,progressista-nordestino
"Apoio o acesso, mas o modelo precisa garantir que o diploma tenha valor no mercado depois.",neutro,Expansão ou Corte do FIES e ProUni,UNB,político-crítico
Usar IA no TCC com citação e reflexão crítica é diferente de copiar. Precisamos distinguir.,positivo,Regulamentação do Uso de IA em Provas e TCCs,FGV,liberal-econômico
"Corte dói, mas o orçamento público é finito. Precisamos de priorização, não de carta branca.",negativo,Cortes no Orçamento das Universidades Federais,USP,progressista-técnico
Prefiro plataforma com excesso de liberdade a Estado decidindo o que posso falar.,negativo,Regulamentação das Redes Sociais e Discurso de Ódio,MACKENZIE,conservador-técnico
"Apoio regulamentação, mas com revisão independente e sem controle governamental direto.",neutro,Regulamentação das Redes Sociais e Discurso de Ódio,UFMG,progressista-regional
Apoio total à criação de serviços de apoio psicológico gratuito no campus. Era o mínimo.,positivo,Saúde Mental no Ambiente Universitário,USP,progressista-técnico
"Manifestação unificada de reitores contra os cortes. Apoio total. Ciência não é gasto, é investimento.",positivo,Cortes no Orçamento das Universidades Federais,INSPER,liberal-meritocrático
"Regulamentar sim, proibir não. A IA veio pra ficar e a universidade precisa se adaptar.",positivo,Regulamentação do Uso de IA em Provas e TCCs,UFBA,progressista-nordestino
Índice de ansiedade e depressão entre universitários é alarmante. Precisamos agir agora.,positivo,Saúde Mental no Ambiente Universitário,UFBA,progressista-nordestino
"que absurdo, tem universidade federal com obra parada há 10 anos e orçamento gigante. O problema não é só dinheiro.",negativo,Cortes no Orçamento das Universidades Federais,PUC_SP,progressista-católico
Reforma que não toca na concentração de riqueza não é reforma — é maquiagem fiscal.,positivo,Reforma Tributária e Imposto sobre Grandes Fortunas,UFRJ,progressista-carioca
Subsídio a energia solar beneficia quem tem telhado e dinheiro pra painel. Não é política popular.,negativo,Transição Energética e Custo para a População,UFMG,progressista-regional
"no final, transição energética é inevitável. Quanto mais tarde, mais caro pra todo mundo.",positivo,Transição Energética e Custo para a População,INSPER,liberal-meritocrático
Apoio o voto facultativo. Obrigar sem educação política é esvaziar o sentido da democracia.,positivo,Voto Obrigatório vs. Facultativo aos 16 Anos,UFMG,progressista-regional
Prefiro plataforma com excesso de liberdade a Estado decidindo o que posso falar.,negativo,Regulamentação das Redes Sociais e Discurso de Ódio,UFBA,progressista-nordestino
Difícil equilibrar proteção contra ódio e liberdade de expressão. Não existe solução perfeita.,neutro,Regulamentação das Redes Sociais e Discurso de Ódio,MACKENZIE,conservador-técnico
Cada campus tem realidade diferente. Uma política nacional de saúde mental universitária precisa de flexibilidade.,neutro,Saúde Mental no Ambiente Universitário,MACKENZIE,conservador-técnico
"O corte é real e prejudica, mas a solução não é só mais recurso — é também mais eficiência.",neutro,Cortes no Orçamento das Universidades Federais,UFRJ,progressista-carioca
"Discordo da facultatividade. Em país com desigualdade histórica, participação precisa ser garantida.",negativo,Voto Obrigatório vs. Facultativo aos 16 Anos,USP,progressista-técnico
Prefiro debater educação política nas escolas antes de decidir sobre obrigatoriedade.,neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,FGV,liberal-econômico
"Apoio regulamentação, mas com revisão independente e sem controle governamental direto.",neutro,Regulamentação das Redes Sociais e Discurso de Ódio,UNB,político-crítico
"Suporte psicológico é necessário, mas não suficiente. O debate precisa ir além do atendimento individual.",neutro,Saúde Mental no Ambiente Universitário,UNICAMP,técnico-crítico
"Se a pessoa tem 16 e quer votar, ótimo. Se não quer, forçar não faz sentido.",positivo,Voto Obrigatório vs. Facultativo aos 16 Anos,USP,progressista-técnico
"nossa, há exceções que já são legais. Legalização ampla é diferente e eu discordo.",negativo,Descriminalização vs. Legalização do Aborto,PUC_SP,progressista-católico
Cada disciplina tem uma relação diferente com IA. Não dá pra ter uma regra única pra tudo.,neutro,Regulamentação do Uso de IA em Provas e TCCs,UFRJ,progressista-carioca
"cara, plataforma que lucra com ódio precisa ser responsabilizada. Regulamentação é urgente.",positivo,Regulamentação das Redes Sociais e Discurso de Ódio,MACKENZIE,conservador-técnico
Ação pontual não resolve. O modelo de avaliação e a carga horária precisam mudar primeiro.,negativo,Saúde Mental no Ambiente Universitário,INSPER,liberal-meritocrático
O problema do Brasil não é pouca tributação de rico — é gasto público ineficiente. Começar por aí.,negativo,Reforma Tributária e Imposto sobre Grandes Fortunas,MACKENZIE,conservador-técnico
"Apoio a meta, mas o prazo e o modelo de financiamento precisam de debate técnico sério.",neutro,Transição Energética e Custo para a População,USP,progressista-técnico
"Antes de reclamar de corte, as universidades deveriam apresentar prestação de contas séria.",negativo,Cortes no Orçamento das Universidades Federais,PUC_SP,progressista-católico
Difícil tomar partido sem ver o orçamento detalhado. Onde exatamente está sendo cortado?,neutro,Cortes no Orçamento das Universidades Federais,UFMG,progressista-regional
Cada real cortado da universidade é multiplicado em atraso de desenvolvimento. Contra os cortes.,positivo,Cortes no Orçamento das Universidades Federais,UFMG,progressista-regional
"oxe, aborto ilegal não evita aborto — mata mulher pobre. Descriminalização é pauta de saúde pública.",positivo,Descriminalização vs. Legalização do Aborto,UFBA,progressista-nordestino
"Apoio a meta, mas o prazo e o modelo de financiamento precisam de debate técnico sério.",neutro,Transição Energética e Custo para a População,UFMG,progressista-regional
"Não é pauta de saúde pública, é pauta ideológica. Existem alternativas que precisam ser debatidas antes.",negativo,Descriminalização vs. Legalização do Aborto,USP,progressista-técnico
"no final, mais arma em circulação é mais risco pra todo mundo. Os dados de homicídio confirmam.",positivo,Desarmamento vs. Flexibilização do Porte de Armas,INSPER,liberal-meritocrático
"tá na moral, pesquisa científica exige processo cognitivo que IA não substitui. Sou contra o uso sem restrição.",negativo,Regulamentação do Uso de IA em Provas e TCCs,UFRJ,progressista-carioca
"A reforma simplificou o consumo, mas deixou a renda intocada. Avanço parcial.",neutro,Reforma Tributária e Imposto sobre Grandes Fortunas,UNB,político-crítico
FIES tem problema de inadimplência estrutural. Precisa de reforma antes de expansão.,neutro,Expansão ou Corte do FIES e ProUni,UFMG,progressista-regional
"bão, tem universidade federal com obra parada há 10 anos e orçamento gigante. O problema não é só dinheiro.",negativo,Cortes no Orçamento das Universidades Federais,UNICAMP,técnico-crítico
Sou servidor e sei que tem muito desperdício interno. Corte cirúrgico é diferente de abandono.,negativo,Cortes no Orçamento das Universidades Federais,UFMG,progressista-regional
"Apoio regulamentação, mas com revisão independente e sem controle governamental direto.",neutro,Regulamentação das Redes Sociais e Discurso de Ódio,UFBA,progressista-nordestino
"Respeito quem defende, mas minha posição é contrária. Adoção precisa ser facilitada primeiro.",negativo,Descriminalização vs. Legalização do Aborto,UFRJ,progressista-carioca
"O corte é real e prejudica, mas a solução não é só mais recurso — é também mais eficiência.",neutro,Cortes no Orçamento das Universidades Federais,INSPER,liberal-meritocrático
"cara, finalmente a universidade tratando saúde mental como pauta institucional séria.",positivo,Saúde Mental no Ambiente Universitário,UNB,político-crítico
"Se a pessoa tem 16 e quer votar, ótimo. Se não quer, forçar não faz sentido.",positivo,Voto Obrigatório vs. Facultativo aos 16 Anos,UFMG,progressista-regional
Difícil tomar partido sem ver o orçamento detalhado. Onde exatamente está sendo cortado?,neutro,Cortes no Orçamento das Universidades Federais,UFBA,progressista-nordestino
Sou servidor e sei que tem muito desperdício interno. Corte cirúrgico é diferente de abandono.,negativo,Cortes no Orçamento das Universidades Federais,USP,progressista-técnico
"Apoio a iniciativa, mas quero ver dados de impacto antes de dizer que está funcionando.",neutro,Saúde Mental no Ambiente Universitário,PUC_SP,progressista-católico
Preciso ver a proposta completa antes de opinar. Detalhes de alíquota e base de cálculo mudam tudo.,neutro,Reforma Tributária e Imposto sobre Grandes Fortunas,UFRJ,progressista-carioca
"O custo da transição precisa ser distribuído de forma progressiva. Não é simples, mas é necessário.",neutro,Transição Energética e Custo para a População,USP,progressista-técnico
"ProUni funciona melhor que FIES, mas ambos precisam de avaliação séria de impacto antes de ampliar.",negativo,Expansão ou Corte do FIES e ProUni,UNB,político-crítico
"Apoio regulamentação, mas com revisão independente e sem controle governamental direto.",neutro,Regulamentação das Redes Sociais e Discurso de Ódio,UFBA,progressista-nordestino
"nossa, pesquisa científica exige processo cognitivo que IA não substitui. Sou contra o uso sem restrição.",negativo,Regulamentação do Uso de IA em Provas e TCCs,PUC_SP,progressista-católico
Transição energética não pode jogar a conta no consumidor de baixa renda. Isso é injustiça disfarçada de ecologia.,negativo,Transição Energética e Custo para a População,UFMG,progressista-regional
Apoio total à criação de serviços de apoio psicológico gratuito no campus. Era o mínimo.,positivo,Saúde Mental no Ambiente Universitário,UNB,político-crítico
Difícil tomar partido sem ver o orçamento detalhado. Onde exatamente está sendo cortado?,neutro,Cortes no Orçamento das Universidades Federais,PUC_SP,progressista-católico
"Regulamentar sim, proibir não. A IA veio pra ficar e a universidade precisa se adaptar.",positivo,Regulamentação do Uso de IA em Provas e TCCs,UFMG,progressista-regional
IA gera texto plausível mas vazio. Deixar usar em TCC é institucionalizar a superficialidade.,negativo,Regulamentação do Uso de IA em Provas e TCCs,INSPER,liberal-meritocrático
"Manifestação unificada de reitores contra os cortes. Apoio total. Ciência não é gasto, é investimento.",positivo,Cortes no Orçamento das Universidades Federais,UFMG,progressista-regional
"Sou a favor do suporte, mas sem enfrentar a raiz — competição, precariedade, futuro incerto — não muda nada.",negativo,Saúde Mental no Ambiente Universitário,UNICAMP,técnico-crítico
"Corte dói, mas o orçamento público é finito. Precisamos de priorização, não de carta branca.",negativo,Cortes no Orçamento das Universidades Federais,UFMG,progressista-regional
"Oxe, até a Europa regulamentou. O Brasil tá atrasado nessa pauta.",positivo,Regulamentação das Redes Sociais e Discurso de Ódio,INSPER,liberal-meritocrático
"Os dados internacionais apontam pra restrição, mas o contexto brasileiro tem especificidades.",neutro,Desarmamento vs. Flexibilização do Porte de Armas,UFRJ,progressista-carioca
"ProUni funciona melhor que FIES, mas ambos precisam de avaliação séria de impacto antes de ampliar.",negativo,Expansão ou Corte do FIES e ProUni,UNB,político-crítico
"Regulamentar sim, proibir não. A IA veio pra ficar e a universidade precisa se adaptar.",positivo,Regulamentação do Uso de IA em Provas e TCCs,FGV,liberal-econômico
Voto obrigatório sem educação cívica séria é ritual vazio. Facultativo com consciência é melhor.,positivo,Voto Obrigatório vs. Facultativo aos 16 Anos,UFMG,progressista-regional
Brasil tem potencial solar e eólico imenso. Não aproveitar é desperdiçar vantagem competitiva.,positivo,Transição Energética e Custo para a População,UFBA,progressista-nordestino
Usar IA no TCC com citação e reflexão crítica é diferente de copiar. Precisamos distinguir.,positivo,Regulamentação do Uso de IA em Provas e TCCs,USP,progressista-técnico
"bão, finalmente a universidade tratando saúde mental como pauta institucional séria.",positivo,Saúde Mental no Ambiente Universitário,UNICAMP,técnico-crítico
"literalmente, pesquisa científica exige processo cognitivo que IA não substitui. Sou contra o uso sem restrição.",negativo,Regulamentação do Uso de IA em Provas e TCCs,INSPER,liberal-meritocrático
Financiar faculdade privada de baixa qualidade com dinheiro público não é inclusão — é desperdício.,negativo,Expansão ou Corte do FIES e ProUni,MACKENZIE,conservador-técnico
"simbora, FIES e ProUni são as únicas portas de entrada no ensino superior pra quem não passou em federal.",positivo,Expansão ou Corte do FIES e ProUni,UFRJ,progressista-carioca
PL das fake news na versão atual concentra poder de moderação no Estado. Não pode.,negativo,Regulamentação das Redes Sociais e Discurso de Ódio,UFBA,progressista-nordestino
Depende muito de como a educação cívica for implementada junto. Não dá pra separar.,neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,UFRJ,progressista-carioca
Nem proibir nem liberar sem critério. Precisamos de política clara e consistente entre os departamentos.,neutro,Regulamentação do Uso de IA em Provas e TCCs,UFRJ,progressista-carioca
Cada disciplina tem uma relação diferente com IA. Não dá pra ter uma regra única pra tudo.,neutro,Regulamentação do Uso de IA em Provas e TCCs,UFMG,progressista-regional
Cidadão de bem desarmado é vítima fácil. Sou a favor do porte responsável.,negativo,Desarmamento vs. Flexibilização do Porte de Armas,FGV,liberal-econômico
"faz sentido, o Brasil tem uma das tributações mais regressivas do mundo. Quem ganha menos paga mais. Isso precisa mudar.",positivo,Reforma Tributária e Imposto sobre Grandes Fortunas,INSPER,liberal-meritocrático
Regulamentação de conteúdo é censura com outro nome. Sou contra.,negativo,Regulamentação das Redes Sociais e Discurso de Ódio,UFRJ,progressista-carioca
